اسم الملف,الأحاديث المعالجة,توكنز المدخلات,توكنز المخرجات,وقت المعالجة (ثانية),التوكنز في الثانية,متوسط الوقت لكل حديث (ثانية)
1577.json,1,1453,744,41.72,52.66,41.72
1578.json,1,1558,700,57.91,38.99,57.91
1579.json,1,1622,630,69.86,32.23,69.86
1580.json,1,1588,781,44.65,53.06,44.65
1581.json,1,1592,666,38.09,59.29,38.09
1582.json,1,1694,546,35.87,62.44,35.87
1583.json,1,2274,825,41.72,74.28,41.72
1584.json,1,1793,724,64.11,39.26,64.11
1585.json,1,1659,751,69.8,34.52,69.8
1586.json,1,2309,773,42.6,72.35,42.6
1587.json,1,1445,639,45.88,45.43,45.88
1588.json,1,2466,1017,130.08,26.78,130.08
1589.json,1,1793,861,117.41,22.6,117.41
1591.json,1,1708,706,122.25,19.75,122.25
1592.json,1,1949,767,101.59,26.73,101.59
1593.json,1,1485,817,81.0,28.42,81.0
1594.json,1,1942,712,39.75,66.77,39.75
1595.json,1,1676,899,65.84,39.11,65.84
1596.json,1,1708,749,50.54,48.62,50.54
1597.json,1,1885,969,50.38,56.65,50.38
1598.json,1,1861,751,53.58,48.75,53.58
1599.json,1,1840,754,67.32,38.53,67.32
1600.json,1,1428,568,75.76,26.35,75.76
1601.json,1,2074,797,60.5,47.45,60.5
1602.json,1,2037,600,70.3,37.51,70.3
1603.json,1,1577,999,162.87,15.82,162.87
1604.json,1,1422,642,72.78,28.36,72.78
1605.json,1,2614,1082,151.92,24.33,151.92
1606.json,1,1681,904,122.79,21.05,122.79
1607.json,1,1461,836,129.13,17.79,129.13
1609.json,1,1324,832,139.88,15.41,139.88
1610.json,1,2482,1005,139.05,25.08,139.05
1611.json,1,1763,886,85.29,31.06,85.29
1612.json,1,1493,737,43.05,51.79,43.05
1613.json,1,1504,691,47.71,46.01,47.71
1614.json,1,2086,867,52.48,56.27,52.48
1616.json,1,3331,823,64.45,64.45,64.45
1617.json,1,1361,720,36.41,57.15,36.41
1618.json,1,2559,869,82.68,41.46,82.68
1619.json,1,1427,795,104.12,21.34,104.12
1620.json,1,1587,735,121.99,19.03,121.99
1621.json,1,1525,746,137.12,16.56,137.12
1623.json,1,1850,703,149.42,17.09,149.42
1625.json,1,2308,854,146.53,21.58,146.53
1626.json,1,1457,740,92.51,23.75,92.51
1627.json,1,1712,777,152.72,16.3,152.72
1628.json,1,1462,540,89.27,22.43,89.27
1629.json,1,1472,696,67.82,31.97,67.82
1630.json,1,1842,666,118.72,21.12,118.72
1632.json,1,1483,895,141.66,16.79,141.66
1633.json,1,1415,680,112.55,18.61,112.55
1634.json,1,1454,777,56.67,39.37,56.67
1635.json,1,2003,645,57.39,46.14,57.39
1636.json,1,1651,800,67.74,36.18,67.74
1637.json,1,1481,530,53.78,37.39,53.78
1638.json,1,3212,745,48.23,82.05,48.23
1639.json,1,2259,943,45.05,71.07,45.05
1640.json,1,2213,845,50.58,60.46,50.58
1641.json,1,2567,724,72.51,45.39,72.51
1643.json,1,3209,610,30.08,126.95,30.08
1644.json,1,1431,739,43.61,49.76,43.61
1645.json,1,1847,792,53.29,49.52,53.29
1647.json,1,1698,764,44.38,55.47,44.38
1648.json,1,1528,634,32.32,66.89,32.32
1649.json,1,1531,616,25.1,85.52,25.1
1650.json,1,1495,739,35.9,62.22,35.9
1651.json,1,2937,1093,52.11,77.33,52.11
1652.json,1,2812,807,48.47,74.66,48.47
1653.json,1,1989,591,41.86,61.63,41.86
1654.json,1,1486,669,29.1,74.04,29.1
1655.json,1,1476,783,34.82,64.88,34.82
1656.json,1,1311,673,27.54,72.04,27.54
1657.json,1,1982,614,27.66,93.85,27.66
1658.json,1,1421,712,36.95,57.73,36.95
1659.json,1,2086,744,34.48,82.06,34.48
1660.json,1,2241,687,33.41,87.65,33.41
1661.json,1,1145,873,31.18,64.72,31.18
1662.json,1,2162,823,35.75,83.5,35.75
1663.json,1,2210,757,30.85,96.16,30.85
1664.json,1,1827,737,35.99,71.23,35.99
1665.json,1,1903,680,32.66,79.1,32.66
1666.json,1,1426,881,42.42,54.39,42.42
1667.json,1,1569,764,57.43,40.62,57.43
1668.json,1,1787,886,47.83,55.89,47.83
1669.json,1,2857,732,61.36,58.49,61.36
1671.json,1,1741,636,40.66,58.45,40.66
1672.json,1,2353,757,34.64,89.79,34.64
1673.json,1,1388,631,37.68,53.58,37.68
1674.json,1,1373,588,27.5,71.31,27.5
1675.json,1,2661,794,48.77,70.85,48.77
1676.json,1,1917,688,60.55,43.02,60.55
1677.json,1,1513,754,41.9,54.11,41.9
1678.json,1,1397,624,46.5,43.46,46.5
1679.json,1,2164,599,54.08,51.1,54.08
1680.json,1,1395,682,75.22,27.61,75.22
1681.json,1,1913,683,68.19,38.07,68.19
1682.json,1,1565,736,63.34,36.33,63.34
1683.json,1,2569,660,50.66,63.74,50.66
1684.json,1,1626,556,56.41,38.68,56.41
1685.json,1,1411,678,80.23,26.04,80.23
1686.json,1,1787,629,51.08,47.3,51.08
1689.json,1,1473,726,78.6,27.98,78.6
1690.json,1,908,511,30.07,47.2,30.07
1691.json,1,4035,1201,82.0,63.86,82.0
1693.json,1,2094,850,70.15,41.97,70.15
1694.json,1,1932,656,45.08,57.41,45.08
1696.json,0,1685,0,0.52,3269.96,0.0
1697.json,1,1634,746,52.37,45.44,52.37
1699.json,1,1709,847,57.66,44.33,57.66
1700.json,0,1895,0,1.4,1353.21,0.0
1701.json,1,1341,560,43.02,44.19,43.02
1702.json,1,1345,456,49.14,36.65,49.14
1703.json,1,1344,503,41.99,43.99,41.99
1704.json,0,1423,0,0.69,2075.26,0.0
1705.json,0,1261,0,0.3,4201.49,0.0
1706.json,0,957,0,0.3,3142.82,0.0
1707.json,1,1611,812,72.16,33.58,72.16
1708.json,0,2173,0,1.16,1872.16,0.0
1709.json,0,1805,0,0.93,1939.14,0.0
1710.json,0,1351,0,0.76,1784.59,0.0
1711.json,1,1745,809,44.63,57.23,44.63
1712.json,1,2030,744,60.44,45.9,60.44
1713.json,0,1551,0,0.75,2065.99,0.0
1714.json,0,1790,0,0.33,5506.63,0.0
1715.json,1,1706,630,36.01,64.87,36.01
1716.json,0,1740,0,0.29,6029.32,0.0
1717.json,0,1690,0,0.51,3339.36,0.0
1718.json,0,1685,0,0.49,3461.83,0.0
1719.json,0,2076,0,0.3,6976.33,0.0
1720.json,0,1858,0,0.34,5436.06,0.0
1721.json,0,1632,0,0.31,5328.27,0.0
1722.json,0,1671,0,0.27,6263.65,0.0
1723.json,0,1649,0,0.28,5935.53,0.0
1725.json,0,1645,0,0.29,5720.72,0.0
1726.json,0,1436,0,0.61,2359.49,0.0
1727.json,0,1888,0,0.33,5789.13,0.0
1728.json,0,1770,0,0.27,6662.26,0.0
1729.json,1,1525,654,59.23,36.79,59.23
1730.json,0,1535,0,0.75,2058.24,0.0
1731.json,1,1532,695,77.02,28.92,77.02
1732.json,0,1578,0,0.72,2184.65,0.0
1733.json,0,1703,0,0.5,3436.06,0.0
1734.json,1,1640,624,56.5,40.07,56.5
1735.json,0,1688,0,0.72,2333.62,0.0
1736.json,0,1755,0,0.68,2569.48,0.0
1737.json,0,1790,0,0.3,5891.42,0.0
1738.json,0,1657,0,0.29,5772.88,0.0
1739.json,0,2375,0,0.3,7836.65,0.0
1741.json,0,3801,0,0.48,7962.33,0.0
1742.json,0,2106,0,0.29,7285.29,0.0
1743.json,0,1408,0,0.29,4795.45,0.0
1744.json,0,1409,0,0.27,5134.59,0.0
1745.json,0,1440,0,0.3,4795.08,0.0
1746.json,0,1482,0,0.27,5511.25,0.0
1747.json,0,2255,0,0.32,7089.73,0.0
1748.json,0,2239,0,0.29,7787.91,0.0
1749.json,0,2255,0,0.29,7715.31,0.0
1750.json,0,2439,0,0.32,7578.52,0.0
1751.json,1,1876,652,50.99,49.57,50.99
1752.json,0,1872,0,0.82,2276.47,0.0
1753.json,0,1983,0,0.31,6403.43,0.0
1754.json,0,1432,0,0.27,5261.39,0.0
1756.json,0,1532,0,0.28,5468.17,0.0
1757.json,0,922,0,0.26,3479.91,0.0
1758.json,0,1981,0,0.29,6882.15,0.0
1779.json,1,2289,884,48.76,65.07,48.76
2051.json,0,2274,0,0.54,4236.64,0.0
2073.json,1,1482,599,50.15,41.5,50.15
2127.json,0,2089,0,1.16,1802.57,0.0
2166.json,1,1416,703,64.34,32.94,64.34
2197.json,0,2053,0,0.72,2850.44,0.0
2289.json,0,1780,0,0.3,6004.34,0.0
2290.json,0,1938,0,0.29,6658.42,0.0
2291.json,1,2975,862,70.16,54.69,70.16
2293.json,1,2148,770,44.81,65.12,44.81
2295.json,1,1615,676,41.74,54.89,41.74
2296.json,1,2576,986,83.38,42.72,83.38
2298.json,1,1682,661,47.7,49.12,47.7
2299.json,1,1613,698,40.42,57.17,40.42
2300.json,1,1491,826,74.37,31.16,74.37
2302.json,1,1827,700,56.54,44.69,56.54
2304.json,1,1545,863,73.53,32.75,73.53
2305.json,1,2006,675,47.55,56.39,47.55
2306.json,1,2023,713,43.61,62.73,43.61
2307.json,1,1726,717,39.75,61.46,39.75
2309.json,1,3354,917,96.67,44.18,96.67
2310.json,1,2115,748,53.16,53.85,53.16
2311.json,1,4175,788,60.76,81.69,60.76
2312.json,1,1744,725,57.38,43.03,57.38
2313.json,1,1468,737,57.49,38.35,57.49
2314.json,1,1221,812,50.23,40.47,50.23
2316.json,1,1695,691,46.74,51.04,46.74
2317.json,1,1754,816,51.23,50.16,51.23
2318.json,1,2412,820,46.88,68.94,46.88
2319.json,1,1597,623,37.7,58.89,37.7
2320.json,1,1330,715,43.84,46.65,43.84
2321.json,1,1783,743,54.43,46.41,54.43
2322.json,1,1427,588,42.14,47.81,42.14
2323.json,1,1344,614,44.26,44.24,44.26
2324.json,1,2014,837,54.68,52.14,54.68
2325.json,1,2140,716,46.25,61.75,46.25
2326.json,1,1580,651,43.67,51.08,43.67
2327.json,1,1762,741,64.47,38.83,64.47
2328.json,1,1865,781,60.98,43.39,60.98
2329.json,1,1690,624,59.44,38.93,59.44
2330.json,1,1737,637,73.95,32.1,73.95
2331.json,1,1712,559,60.37,37.62,60.37
2333.json,1,4069,557,39.06,118.43,39.06
2334.json,1,1500,717,57.8,38.35,57.8
2335.json,1,1082,545,42.25,38.51,42.25
2336.json,1,2070,727,43.72,63.98,43.72
2337.json,1,1667,536,39.72,55.46,39.72
2339.json,1,2360,627,45.06,66.3,45.06
2340.json,1,2217,616,44.71,63.37,44.71
2341.json,1,2165,780,61.44,47.94,61.44
2342.json,1,1603,729,46.12,50.56,46.12
2343.json,1,2127,899,53.97,56.06,53.97
2345.json,1,1317,755,81.89,25.3,81.89
2346.json,1,2092,707,58.93,47.5,58.93
2348.json,1,2114,919,73.84,41.08,73.84
2349.json,1,1688,620,46.43,49.71,46.43
2350.json,1,3406,857,67.09,63.54,67.09
2351.json,1,1963,784,53.14,51.7,53.14
2352.json,1,1075,651,47.09,36.65,47.09
2355.json,1,2024,729,56.1,49.08,56.1
2356.json,1,2911,693,44.74,80.56,44.74
2359.json,1,2878,913,65.48,57.9,65.48
2361.json,1,2699,837,49.92,70.83,49.92
2362.json,1,2860,1144,57.16,70.05,57.16
2363.json,1,2136,818,53.75,54.96,53.75
2364.json,1,1686,708,45.49,52.63,45.49
2365.json,1,1701,538,37.46,59.77,37.46
2366.json,1,1963,554,25.45,98.91,25.45
2367.json,1,1319,692,43.06,46.7,43.06
2368.json,1,5688,1001,58.42,114.49,58.42
2371.json,1,2357,993,65.56,51.1,65.56
2372.json,1,2705,879,42.4,84.53,42.4
2373.json,1,1573,651,45.36,49.03,45.36
2374.json,1,1548,722,44.37,51.16,44.37
2375.json,1,1443,568,41.06,48.97,41.06
2376.json,1,2003,831,49.8,56.91,49.8
2377.json,1,2040,658,50.01,53.95,50.01
2378.json,1,1247,551,32.89,54.67,32.89
2379.json,1,1333,592,46.08,41.78,46.08
2380.json,1,2266,752,34.86,86.58,34.86
2381.json,1,2153,975,69.28,45.15,69.28
2382.json,1,2307,696,38.09,78.83,38.09
2383.json,1,2118,785,48.05,60.42,48.05
2385.json,1,2842,943,54.21,69.83,54.21
2386.json,1,1732,821,35.98,70.95,35.98
2387.json,1,1345,570,31.3,61.19,31.3
2390.json,1,2002,667,45.35,58.86,45.35
2392.json,1,2018,907,46.59,62.79,46.59
2393.json,1,2016,627,43.84,60.29,43.84
2394.json,1,1842,638,41.07,60.38,41.07
2395.json,1,2147,756,51.55,56.32,51.55
2397.json,1,2349,814,53.14,59.53,53.14
2398.json,1,1944,599,47.31,53.76,47.31
2401.json,1,1920,693,40.57,64.4,40.57
2402.json,1,1214,567,33.88,52.57,33.88
2404.json,1,2190,939,51.34,60.94,51.34
2405.json,1,4158,733,41.17,118.81,41.17
2407.json,1,1589,494,35.18,59.21,35.18
2408.json,1,2771,790,61.91,57.52,61.91
2409.json,1,2184,992,65.83,48.24,65.83
2411.json,1,2493,937,89.8,38.2,89.8
2412.json,1,2450,844,46.68,70.56,46.68
2413.json,1,1686,709,50.99,46.97,50.99
2414.json,1,1579,618,57.37,38.3,57.37
2416.json,1,2911,878,57.35,66.07,57.35
2418.json,1,1779,756,47.24,53.66,47.24
2419.json,1,2777,643,37.84,90.38,37.84
2420.json,1,1804,736,49.5,51.31,49.5
2421.json,1,2041,750,47.91,58.26,47.91
2422.json,1,1133,528,52.42,31.69,52.42
2423.json,1,1033,531,39.57,39.53,39.57
2424.json,1,1732,726,53.26,46.15,53.26
2427.json,1,2728,947,65.54,56.07,65.54
2428.json,1,2836,821,61.39,59.57,61.39
2429.json,1,2702,946,38.52,94.7,38.52
2430.json,1,2247,781,61.42,49.3,61.42
2431.json,1,1556,640,44.88,48.93,44.88
2432.json,1,1562,678,31.97,70.06,31.97
2435.json,1,1889,747,58.72,44.89,58.72
2436.json,1,2775,933,59.45,62.37,59.45
2438.json,1,2714,825,49.85,70.99,49.85
2439.json,1,3315,876,40.03,104.69,40.03
2440.json,1,1912,854,53.88,51.34,53.88
2441.json,1,2070,799,53.22,53.91,53.22
2442.json,1,1571,583,49.92,43.15,49.92
2443.json,1,1250,705,61.41,31.83,61.41
2444.json,1,1307,726,61.35,33.14,61.35
2445.json,1,934,609,50.92,30.3,50.92
2446.json,1,1455,538,26.94,73.97,26.94
2447.json,1,2143,637,36.71,75.73,36.71
2448.json,1,2316,823,49.45,63.48,49.45
2450.json,1,1660,573,49.93,44.72,49.93
2451.json,1,1990,762,47.25,58.24,47.25
2452.json,1,1401,573,48.41,40.78,48.41
2453.json,1,1497,524,43.88,46.06,43.88
2455.json,1,1495,742,38.06,58.77,38.06
2456.json,1,2211,1045,52.42,62.11,52.42
2458.json,1,1900,770,38.1,70.08,38.1
2459.json,1,1711,848,38.63,66.24,38.63
2460.json,1,1478,643,50.29,42.18,50.29
2462.json,1,4868,1016,42.41,138.73,42.41
2463.json,1,1629,698,40.71,57.16,40.71
2464.json,1,2387,615,45.62,65.8,45.62
2466.json,1,2136,636,40.13,69.07,40.13
2467.json,1,1570,728,54.06,42.51,54.06
2468.json,1,10009,986,52.18,210.71,52.18
2469.json,1,2078,821,40.08,72.33,40.08
2470.json,1,2241,795,43.22,70.25,43.22
2471.json,1,1572,689,47.78,47.32,47.78
2472.json,1,3145,765,40.5,96.55,40.5
2473.json,1,1392,651,46.94,43.53,46.94
2475.json,1,2094,808,47.77,60.75,47.77
2477.json,1,3738,758,41.29,108.88,41.29
2479.json,1,1802,870,66.11,40.42,66.11
2480.json,1,1185,541,47.74,36.15,47.74
2481.json,1,1981,640,35.66,73.5,35.66
2482.json,1,2751,743,41.2,84.81,41.2
2483.json,1,2685,688,70.95,47.54,70.95
2485.json,1,1212,589,36.03,49.98,36.03
2486.json,1,1489,917,56.16,42.84,56.16
2487.json,1,1974,832,33.04,84.93,33.04
2488.json,1,1351,546,30.84,61.5,30.84
2489.json,1,1438,632,46.65,44.37,46.65
2490.json,1,1476,635,49.47,42.68,49.47
2494.json,1,2968,756,49.83,74.74,49.83
2495.json,1,1403,571,53.73,36.74,53.73
2496.json,1,1400,730,43.83,48.59,43.83
2497.json,1,1431,763,55.13,39.8,55.13
2500.json,1,1444,680,32.92,64.53,32.92
2501.json,1,1988,744,47.95,56.98,47.95
2503.json,1,1498,700,67.34,32.64,67.34
2505.json,1,3153,947,44.53,92.07,44.53
2507.json,1,1343,728,66.98,30.92,66.98
2508.json,1,1818,774,44.92,57.71,44.92
2509.json,1,1727,685,30.82,78.26,30.82
2510.json,0,3671,0,0.32,11619.88,0.0
2515.json,1,3121,839,37.78,104.82,37.78
2517.json,1,1227,601,26.82,68.17,26.82
2518.json,1,2291,783,69.72,44.09,69.72
2519.json,0,1553,0,0.27,5814.38,0.0
2520.json,0,1538,0,0.24,6513.34,0.0
2521.json,0,1407,0,0.47,2977.98,0.0
2522.json,0,1529,0,0.29,5297.35,0.0
2525.json,0,1595,0,0.28,5715.52,0.0
2529.json,0,1525,0,0.27,5549.96,0.0
2530.json,0,1933,0,0.7,2744.13,0.0
2531.json,0,1992,0,0.27,7435.95,0.0
2532.json,0,1807,0,0.72,2524.82,0.0
2533.json,0,2278,0,0.29,7969.5,0.0
2535.json,0,1403,0,0.27,5189.92,0.0
2536.json,0,2269,0,0.31,7418.07,0.0
2537.json,0,1526,0,0.28,5442.79,0.0
2538.json,0,1821,0,0.28,6391.34,0.0
2539.json,0,1686,0,0.29,5811.89,0.0
2541.json,0,1803,0,0.32,5569.53,0.0
2542.json,1,1994,683,56.8,47.13,56.8
2543.json,1,1803,817,41.87,62.58,41.87
2545.json,0,2019,0,0.3,6699.53,0.0
2546.json,0,1288,0,0.28,4586.98,0.0
2547.json,0,2066,0,0.29,7130.25,0.0
2548.json,0,1546,0,0.28,5468.63,0.0
2549.json,0,1279,0,0.28,4637.93,0.0
2550.json,0,1287,0,0.26,4917.64,0.0
2551.json,0,1310,0,0.28,4644.78,0.0
2552.json,1,1605,823,53.9,45.04,53.9
2554.json,0,2061,0,0.73,2838.98,0.0
2558.json,0,2140,0,0.45,4752.39,0.0
2559.json,0,1572,0,0.28,5578.99,0.0
2560.json,0,2512,0,0.29,8532.42,0.0
2561.json,0,2515,0,0.5,5036.72,0.0
2562.json,0,2216,0,0.3,7367.85,0.0
2563.json,0,2599,0,0.31,8383.88,0.0
2564.json,0,2334,0,0.3,7875.89,0.0
2565.json,0,2524,0,0.3,8382.17,0.0
2569.json,0,2013,0,0.3,6700.93,0.0
2570.json,0,1307,0,0.28,4711.67,0.0
2571.json,0,2319,0,0.28,8416.71,0.0
2572.json,0,1905,0,0.46,4117.15,0.0
2573.json,0,1877,0,0.33,5723.3,0.0
2574.json,0,3213,0,0.35,9243.49,0.0
2575.json,0,2276,0,0.78,2918.79,0.0
2576.json,0,1378,0,0.27,5146.45,0.0
2577.json,0,2608,0,0.29,8895.73,0.0
2578.json,0,1897,0,0.27,7058.35,0.0
2579.json,0,1679,0,0.27,6267.49,0.0
2580.json,0,3201,0,0.29,11206.27,0.0
2581.json,0,4259,0,0.34,12512.02,0.0
2583.json,1,1209,638,41.79,44.2,41.79
2585.json,0,1263,0,0.27,4667.61,0.0
2588.json,0,2325,0,0.3,7676.76,0.0
2589.json,0,1347,0,0.27,4998.06,0.0
2590.json,0,1775,0,0.28,6328.89,0.0
2591.json,0,1750,0,0.28,6229.72,0.0
2593.json,0,1810,0,0.29,6238.71,0.0
2595.json,0,1328,0,0.28,4814.13,0.0
2596.json,0,1946,0,0.46,4263.53,0.0
2597.json,0,2546,0,0.29,8780.23,0.0
2598.json,0,2536,0,0.31,8303.49,0.0
2599.json,0,1902,0,0.28,6907.43,0.0
2600.json,1,2274,795,40.91,75.03,40.91
2601.json,0,2326,0,0.3,7739.3,0.0
2602.json,0,1953,0,0.28,6865.62,0.0
2604.json,0,1894,0,0.28,6825.36,0.0
2605.json,0,1952,0,0.28,6881.23,0.0
2606.json,0,2017,0,0.29,6981.95,0.0
2607.json,0,1668,0,0.27,6116.7,0.0
2609.json,0,1956,0,0.29,6741.79,0.0
2610.json,0,2093,0,0.75,2772.66,0.0
2611.json,0,2008,0,0.28,7098.85,0.0
2613.json,0,1939,0,0.27,7063.68,0.0
2615.json,1,1877,866,36.56,75.03,36.56
2617.json,0,2070,0,0.49,4262.89,0.0
2620.json,0,1547,0,0.27,5684.78,0.0
2621.json,0,1336,0,0.27,5009.37,0.0
2622.json,0,1356,0,0.27,4965.19,0.0
2623.json,0,1695,0,0.27,6369.26,0.0
2624.json,0,1953,0,0.28,6938.69,0.0
2625.json,0,1329,0,0.26,5179.06,0.0
2626.json,0,1267,0,0.25,4989.75,0.0
2627.json,0,1812,0,0.29,6207.77,0.0
2628.json,0,1863,0,0.49,3840.07,0.0
2629.json,0,1434,0,0.26,5424.79,0.0
2630.json,0,2592,0,0.32,8036.37,0.0
2631.json,0,1732,0,0.42,4090.43,0.0
2632.json,0,2237,0,0.29,7820.07,0.0
2633.json,0,2525,0,0.69,3661.29,0.0
2634.json,0,1344,0,0.3,4442.57,0.0
2635.json,0,2706,0,0.28,9620.31,0.0
2636.json,0,1625,0,0.28,5888.89,0.0
2637.json,0,10562,0,0.51,20571.86,0.0
2638.json,0,1210,0,0.69,1748.68,0.0
2639.json,0,2420,0,0.3,8069.28,0.0
2640.json,0,1719,0,0.26,6495.8,0.0
2641.json,0,1693,0,0.29,5833.5,0.0
2642.json,0,1961,0,0.3,6590.03,0.0
2643.json,0,2416,0,0.29,8355.68,0.0
2646.json,0,1729,0,0.45,3809.24,0.0
2648.json,0,1044,0,0.27,3910.45,0.0
2651.json,0,1031,0,0.29,3591.16,0.0
2652.json,0,2390,0,0.31,7651.61,0.0
2653.json,0,1562,0,0.28,5666.72,0.0
2654.json,0,1617,0,0.27,5931.81,0.0
2655.json,0,1670,0,0.28,5997.97,0.0
2656.json,0,1598,0,0.26,6204.88,0.0
2657.json,0,1896,0,0.31,6072.41,0.0
2658.json,0,2670,0,0.29,9118.9,0.0
2659.json,0,1520,0,0.33,4582.79,0.0
2660.json,0,1481,0,0.26,5628.32,0.0
2661.json,0,14726,0,0.76,19318.85,0.0
2662.json,0,1784,0,0.27,6585.32,0.0
2663.json,0,1684,0,0.27,6351.61,0.0
2664.json,0,1876,0,0.5,3769.98,0.0
2665.json,0,1557,0,0.29,5380.62,0.0
2666.json,0,2953,0,0.31,9406.81,0.0
2669.json,0,3019,0,0.31,9812.72,0.0
2671.json,0,2820,0,0.32,8813.5,0.0
2673.json,0,2655,0,0.3,8957.5,0.0
2674.json,0,1572,0,0.28,5644.23,0.0
2675.json,0,1991,0,0.37,5362.29,0.0
2676.json,0,2829,0,0.33,8630.64,0.0
2678.json,0,2600,0,0.32,8017.61,0.0
2680.json,1,1838,814,46.9,56.55,46.9
2681.json,0,7638,0,1.06,7235.66,0.0
2682.json,0,1560,0,0.28,5497.02,0.0
2683.json,0,2582,0,0.29,8950.67,0.0
2684.json,0,1629,0,0.27,6036.05,0.0
2685.json,0,1876,0,0.48,3927.29,0.0
2687.json,0,2970,0,0.3,9837.65,0.0
2688.json,0,1809,0,0.29,6133.51,0.0
2689.json,0,3190,0,0.33,9617.34,0.0
2690.json,0,3877,0,0.3,12760.87,0.0
2691.json,0,2408,0,0.29,8292.51,0.0
2692.json,0,1589,0,0.67,2379.04,0.0
2693.json,0,3210,0,0.35,9067.65,0.0
2694.json,0,1659,0,0.28,5959.07,0.0
2695.json,0,1537,0,0.25,6265.69,0.0
2697.json,0,1420,0,0.26,5487.63,0.0
2698.json,0,3719,0,0.53,7037.92,0.0
2700.json,0,12838,0,0.88,14611.59,0.0
2701.json,0,1688,0,0.28,6121.61,0.0
2702.json,0,2100,0,0.46,4535.37,0.0
2703.json,0,2023,0,0.27,7382.1,0.0
2704.json,0,3542,0,0.32,11115.39,0.0
2705.json,0,1969,0,0.5,3974.79,0.0
2706.json,0,1705,0,0.26,6466.36,0.0
2708.json,0,2995,0,0.29,10391.8,0.0
2710.json,0,1839,0,0.29,6326.27,0.0
2711.json,0,3759,0,0.31,11976.35,0.0
2714.json,0,2087,0,0.3,7071.44,0.0
2715.json,0,1973,0,0.7,2819.11,0.0
2716.json,0,1281,0,0.27,4811.11,0.0
2717.json,0,2336,0,0.3,7786.09,0.0
2718.json,0,3693,0,0.31,12066.16,0.0
2719.json,0,2142,0,0.28,7534.89,0.0
2724.json,0,1663,0,0.27,6082.02,0.0
2726.json,0,2382,0,0.35,6884.16,0.0
2728.json,0,1134,0,0.26,4300.08,0.0
2729.json,0,2559,0,0.29,8840.49,0.0
2733.json,0,3527,0,0.32,11015.52,0.0
2734.json,0,2219,0,0.29,7612.86,0.0
2735.json,0,2360,0,0.3,7860.73,0.0
2736.json,0,1338,0,0.29,4677.18,0.0
2737.json,0,2010,0,0.27,7452.26,0.0
2738.json,0,1773,0,0.28,6372.4,0.0
2739.json,0,1595,0,0.27,5844.12,0.0
2741.json,0,1933,0,0.29,6647.71,0.0
2742.json,0,2788,0,0.31,8883.59,0.0
2743.json,0,2481,0,0.72,3434.35,0.0
2744.json,0,1115,0,0.3,3772.07,0.0
2745.json,0,2171,0,0.24,8877.82,0.0
2746.json,0,1692,0,0.27,6310.32,0.0
2748.json,0,1882,0,0.29,6547.53,0.0
2749.json,0,1535,0,0.48,3169.69,0.0
2750.json,0,1578,0,0.27,5926.98,0.0
2751.json,0,2089,0,0.3,6963.66,0.0
2752.json,0,2043,0,0.28,7283.0,0.0
2753.json,0,1871,0,0.29,6562.19,0.0
2755.json,0,919,0,0.25,3646.54,0.0
2757.json,0,1777,0,0.32,5611.47,0.0
2758.json,0,2502,0,0.29,8578.27,0.0
2759.json,0,1493,0,0.28,5395.69,0.0
2760.json,0,1323,0,0.28,4684.93,0.0
2764.json,0,1994,0,0.29,6842.03,0.0
2766.json,0,2237,0,0.31,7322.06,0.0
2767.json,0,1510,0,0.27,5679.63,0.0
2768.json,0,1693,0,0.47,3595.89,0.0
2769.json,0,2381,0,0.29,8332.93,0.0
2772.json,0,1934,0,0.28,6988.23,0.0
2775.json,0,1695,0,0.28,6118.9,0.0
2776.json,0,1566,0,0.29,5417.98,0.0
2777.json,0,1753,0,0.28,6317.67,0.0
2778.json,0,1694,0,0.28,6050.53,0.0
2780.json,0,2520,0,0.32,7846.97,0.0
2781.json,0,2419,0,0.28,8736.54,0.0
2782.json,0,2529,0,0.33,7654.78,0.0
2783.json,0,3311,0,0.36,9073.12,0.0
2784.json,0,877,0,0.73,1197.13,0.0
2785.json,0,1594,0,0.27,5845.49,0.0
2786.json,0,1829,0,0.27,6669.4,0.0
2787.json,0,1676,0,0.6,2774.78,0.0
2790.json,0,2938,0,0.95,3077.79,0.0
2791.json,0,3709,0,0.32,11620.91,0.0
2792.json,0,2618,0,0.29,9128.95,0.0
2793.json,0,2667,0,0.46,5761.55,0.0
2794.json,0,2618,0,0.28,9424.42,0.0
2795.json,0,1726,0,0.27,6338.56,0.0
2796.json,0,2760,0,0.22,12397.61,0.0
2797.json,0,1687,0,0.28,5977.65,0.0
2798.json,0,2447,0,0.28,8835.43,0.0
2799.json,0,2301,0,0.28,8226.47,0.0
2801.json,0,2832,0,0.71,3986.87,0.0
2802.json,0,1555,0,0.27,5856.27,0.0
2804.json,0,7599,0,0.51,15045.54,0.0
2807.json,0,1621,0,0.27,6027.24,0.0
2808.json,0,1539,0,0.26,5814.68,0.0
2809.json,0,2787,0,0.5,5547.85,0.0
2810.json,0,1524,0,0.27,5640.56,0.0
2811.json,0,1262,0,0.27,4689.01,0.0
2812.json,0,2624,0,0.29,9134.01,0.0
2814.json,0,3912,0,0.31,12525.38,0.0
2815.json,0,1401,0,0.26,5368.43,0.0
2816.json,0,1861,0,0.27,6788.13,0.0
2817.json,0,1708,0,0.32,5389.94,0.0
