اسم الملف,الأحاديث المعالجة,توكنز المدخلات,توكنز المخرجات,وقت المعالجة (ثانية),التوكنز في الثانية,متوسط الوقت لكل حديث (ثانية)
1131.json,1,2102,783,46.11,62.57,46.11
1132.json,1,1555,841,63.57,37.69,63.57
1133.json,1,1590,692,51.87,44.0,51.87
1134.json,1,1596,705,25.18,91.39,25.18
1135.json,1,1526,736,54.5,41.5,54.5
1136.json,1,1472,721,56.7,38.67,56.7
1138.json,1,1977,819,66.44,42.08,66.44
1139.json,1,1584,701,66.21,34.51,66.21
1140.json,1,1830,624,58.51,41.94,58.51
1141.json,1,1622,731,37.69,62.43,37.69
1142.json,1,1747,756,52.51,47.66,52.51
1143.json,1,1963,693,46.95,56.57,46.95
1144.json,1,1500,935,66.56,36.58,66.56
1145.json,1,1894,677,48.71,52.78,48.71
1146.json,1,1855,825,93.33,28.72,93.33
1147.json,1,2667,937,44.52,80.95,44.52
1148.json,1,1436,747,38.82,56.24,38.82
1149.json,1,1825,662,41.01,60.64,41.01
1150.json,1,1707,683,39.37,60.7,39.37
1151.json,1,2046,599,31.62,83.66,31.62
1152.json,1,1416,654,50.08,41.33,50.08
1153.json,1,2132,829,44.97,65.84,44.97
1154.json,1,2023,702,43.18,63.1,43.18
1155.json,1,2315,785,46.27,67.0,46.27
1156.json,1,2748,851,98.41,36.57,98.41
1159.json,1,1619,663,86.43,26.4,86.43
1160.json,1,1297,608,85.45,22.29,85.45
1161.json,1,1330,526,82.33,22.54,82.33
1162.json,1,2587,1071,108.5,33.72,108.5
1163.json,0,1138,0,23.16,49.13,0.0
1164.json,1,2006,740,66.04,41.58,66.04
1165.json,1,2076,799,37.99,75.68,37.99
1166.json,1,1449,787,89.15,25.08,89.15
1167.json,1,2162,819,44.85,66.47,44.85
1168.json,1,1370,582,73.59,26.52,73.59
1169.json,1,1276,666,39.53,49.12,39.53
1171.json,1,1477,654,87.49,24.36,87.49
1172-_1173.json,1,1714,698,55.99,43.08,55.99
1175.json,1,1837,709,40.54,62.81,40.54
1176.json,1,1813,590,87.47,27.47,87.47
1177.json,1,1973,1128,176.17,17.6,176.17
1178.json,1,2075,892,130.0,22.82,130.0
1179.json,1,2253,740,100.75,29.71,100.75
1180.json,1,1642,641,98.45,23.19,98.45
1182.json,1,1307,765,149.03,13.9,149.03
1183.json,1,1356,595,114.1,17.1,114.1
1184.json,1,1510,584,75.13,27.87,75.13
1185.json,1,1304,601,83.69,22.76,83.69
1187.json,1,1432,759,51.37,42.65,51.37
1189.json,1,2867,741,47.05,76.68,47.05
1190.json,1,1315,743,48.2,42.69,48.2
1191.json,1,2414,855,67.08,48.74,67.08
1193.json,1,1523,751,44.57,51.02,44.57
1194.json,1,1534,791,74.2,31.34,74.2
1196.json,1,1377,711,95.91,21.77,95.91
1197.json,1,3034,837,100.81,38.4,100.81
1198.json,1,2478,710,148.08,21.53,148.08
1199.json,1,1956,702,139.3,19.08,139.3
1200.json,1,1390,615,81.19,24.69,81.19
1201.json,1,3561,818,112.0,39.1,112.0
1202.json,1,2528,1051,178.28,20.08,178.28
1203.json,1,1384,790,143.03,15.2,143.03
1204.json,1,1383,605,109.26,18.19,109.26
1205.json,1,2100,812,130.26,22.35,130.26
1206.json,1,2713,846,138.83,25.64,138.83
1207.json,1,1428,768,92.08,23.85,92.08
1208.json,1,1353,559,65.16,29.34,65.16
1209.json,1,1383,681,48.39,42.66,48.39
1210.json,1,1845,793,63.43,41.59,63.43
1212.json,1,3019,1137,53.59,77.55,53.59
