اسم الملف,معرف الحديث,وقت التوليد (ثانية),توكنز المدخلات,توكنز المخرجات
280.json,280,43.67,1736,716
281.json,281,37.58,1625,805
283.json,283,48.76,1857,590
284.json,284,44.00,2033,998
285.json,285,36.55,1849,604
286.json,286,29.15,1363,572
287.json,287,29.12,1403,525
289.json,289,48.25,1371,663
290.json,290,35.35,1421,582
291.json,291,30.38,1334,436
292.json,292,49.86,1712,718
293.json,293,51.98,1464,662
294.json,294,43.78,3360,777
297.json,297,31.25,1340,549
298.json,298,63.74,1719,652
299.json,299,35.69,1693,783
301.json,301,43.49,1385,786
304.json,304,49.21,2941,785
305.json,305,69.28,3386,818
306.json,306,43.35,1846,749
309.json,309,55.19,1641,596
310.json,310,46.03,1589,605
311.json,311,39.72,1554,715
312.json,312,51.32,1741,878
313.json,313,49.53,1790,799
316.json,316,54.14,3186,825
317.json,317,56.70,3224,837
319.json,319,66.09,3281,831
320.json,320,45.59,1786,646
321.json,321,35.28,1404,535
322.json,322,53.14,1839,743
323.json,323,41.87,1718,635
325.json,325,54.43,1811,830
326.json,326,39.43,1289,581
327.json,327,39.49,1807,717
328.json,328,42.36,945,582
329.json,329,42.72,1108,597
330.json,330,56.17,1223,834
331.json,331,31.02,1725,745
332.json,332,51.07,1538,733
333.json,333,51.43,1447,598
334.json,334,62.64,3085,767
336.json,336,73.40,2726,988
338.json,338,55.00,2090,688
339.json,339,52.93,1903,783
340.json,340,34.72,1891,672
341.json,341,41.18,1902,775
342.json,342,41.51,1869,693
343.json,343,40.47,1894,726
344.json,344,44.40,4633,804
345.json,345,41.71,2300,671
346.json,346,51.81,2476,784
347.json,347,41.44,2848,601
348.json,348,54.67,3064,842
349.json,349,58.46,8603,713
350.json,350,37.97,1446,624
818.json,818,47.02,2506,917
825.json,825,43.32,1424,658
1779.json,1779,48.76,2289,884
2073.json,2073,50.13,1482,599
2166.json,2166,64.33,1416,703
5147.json,5147,54.62,1770,734
5148.json,5148,36.49,2241,719
6430.json,6430,88.39,1706,849
6461.json,6461,52.33,1582,749
1706.json,1706,34.75,957,511
2051.json,2051,46.82,2274,794
2127.json,2127,43.22,2089,783
2197.json,2197,39.21,2053,696
2289.json,2289,40.82,1780,633
2290.json,2290,36.22,1938,636
2533.json,2533,45.27,2278,684
2652.json,2652,55.35,2390,831
2653.json,2653,62.34,1562,835
2684.json,2684,47.82,1629,634
2685.json,2685,47.32,1876,732
4383.json,4383,75.23,2959,991
